Metro.Status.Code,Number.of.Schools,Agency.ID,Federal.Revenue,Related.Children.in.Poverty,Total.Enrollment
2,7,120456003,624000,596,4513
3,7,106617203,341000,598,2650
2,6,101638003,1215000,688,3928
3,6,117086653,704000,401,1978
2,5,114068103,436000,359,2990
3,3,104377003,139000,180,825
2,3,105259103,540000,292,1431
2,8,101268003,2305000,1356,3658
2,5,124158503,79000,65,3868
3,2,128328003,607000,278,1458
2,6,103029203,327000,92,3925
2,4,119358403,427000,255,2558
3,5,119648303,900000,466,3658
3,21,105628302,1967000,1124,6818
3,4,116498003,439000,291,2025
3,6,112289003,751000,446,4181
2,4,103029403,402000,233,3138
2,15,124159002,1594000,724,11732
2,5,115508003,870000,422,2810
2,17,115219002,839000,513,8187
2,9,118409302,2242000,1141,5247
1,12,117417202,3290000,1956,6546
2,5,120488603,380000,102,2339
2,10,114069103,356000,263,4694
2,2,114060557,289000,-9,1660
2,1,121393007,488000,-9,2500
2,1,123460957,295000,-9,947
2,1,127041307,385000,-9,675
1,1,118403207,-9,-9,8277
3,1,109420107,0,-9,215
2,0,112000000,8943000,-9,10
2,0,113000000,13725000,-9,888
2,0,127000000,1818000,-9,560
2,6,1,392000,71,3181
2,5,3,676000,254,2865
2,7,4,2916000,1242,3358
2,8,6,1198000,460,5605
2,23,7,3870000,1228,10924
2,6,9,300000,89,2374
2,15,10,2166000,800,6757
2,5,97,362000,134,2062
2,2,15,130000,88,658
2,8,16,866000,416,3603
3,6,19,1664000,234,2833
3,1,22,12000,12,126
3,9,21,2739000,929,2965
2,10,23,889000,373,4504
2,9,24,892000,317,3500
2,3,25,182000,28,1852
1,15,26,5065000,2181,10055
2,6,27,776000,194,2874
2,5,30,305000,103,1750
2,6,31,432000,139,2744
2,8,32,888000,378,4383
2,6,33,491000,213,2211
2,6,38,1463000,831,3858
2,7,36,944000,410,3603
2,14,39,4469000,1767,6670
1,46,28,25185000,11418,26335
2,15,52-09-000,-9,-9,1164
2,37,02-01-000,10631000,5125,24723
3,5,03-01-000,2198000,1002,2200
2,13,04-01-000,1843000,513,7162
2,4,04-03-000,1120000,463,2627
2,5,04-04-000,1167000,485,2573
1,15,04-05-000,4754000,2341,12093
3,5,05-01-000,1483000,607,1821
3,3,06-45-000,1675000,797,2992
3,19,07-01-000,7226000,3868,20976
2,35,08-01-000,12777000,6105,27309
3,5,09-01-000,1719000,772,2085
2,74,10-01-000,25202000,14080,45257
2,19,11-01-000,3532000,1893,8776
3,10,12-01-000,3438000,1671,6815
3,15,13-01-000,4372000,2113,8468
3,4,14-01-000,1401000,636,1314
3,15,15-01-000,4686000,2458,7308
3,22,16-01-000,7482000,3738,11504
2,15,18-02-000,4456000,2199,16890
2,8,19-01-000,2159000,1054,4095
3,8,20-01-000,3084000,1213,4483
1,20,21-01-000,7458000,3268,15407
2,3,21-02-000,802000,363,1401
2,3,21-05-000,937000,383,1455
3,17,22-01-000,6484000,3074,10996
3,14,24-50-000,4349000,1861,8916
3,3,25-02-000,1790000,742,1646
2,41,26-01-000,13009000,6810,29269
3,17,28-01-000,4238000,1708,9805
3,18,29-01-000,4857000,2453,11000
3,7,30-56-000,2074000,947,3872
2,16,32-01-000,3751000,1369,18588
2,15,32-02-000,3685000,2013,9500
2,16,32-05-000,2444000,718,14691
3,5,34-02-000,2104000,890,2352
3,8,35-01-000,3887000,1799,6471
3,14,36-01-000,3110000,1327,5793
3,21,37-01-000,4265000,1901,10799
3,7,38-03-000,3760000,1512,4339
3,7,38-04-000,2702000,978,4398
3,14,38-05-000,6700000,2599,7801
2,25,39-01-000,4741000,2511,16477
2,51,40-01-000,15730000,8559,26863
2,17,40-02-000,5123000,1352,17034
3,4,41-01-000,1565000,572,2256
2,9,42-01-000,1567000,573,4300
2,11,42-02-000,2083000,757,7765
2,4,42-04-000,1040000,403,2924
2,12,42-06-000,2401000,936,8674
2,14,42-07-000,5953000,3093,9576
3,10,44-01-000,2847000,1126,6300
2,7,46-01-000,1689000,745,5000
1,20,46-03-000,4934000,2695,14859
2,5,46-04-000,945000,502,5143
3,3,25004,268000,141,1087
3,4,48003,222000,75,545
3,3,61001,174000,86,522
3,2,6302,-9,-9,29
3,3,19004,201000,85,630
3,3,43007,131000,39,520
3,4,39005,137000,65,207
3,4,54009,1448000,424,1282
3,10,6001,1298000,552,3917
3,3,58001,33000,16,34
3,5,30001,198000,49,344
3,3,38001,102000,26,360
3,3,21001,82000,29,260
3,5,55005,200000,57,296
3,5,9001,599000,280,1401
3,6,3001,1215000,390,650
3,8,4002,291000,128,794
3,3,22001,63000,14,153
2,4,49002,317000,76,2520
3,3,43006,71000,49,185
3,2,18001,53000,33,120
3,4,45001,245000,39,523
3,8,31001,196000,55,328
3,3,26002,121000,70,261
2,4,41001,214000,102,1029
3,3,60001,102000,34,307
3,5,7001,900000,335,980
3,4,39001,109000,10,355
3,5,12002,284000,122,602
3,4,50005,79000,45,341
3,7,24001,119000,57,94
3,8,16001,725000,195,1087
3,3,38002,95000,25,327
2,3,49003,194000,66,827
2,5,51001,3191000,426,2353
3,4,20001,1749000,464,1247
3,3,23001,260000,34,200
3,3,61007,161000,55,650
3,5,5003,132000,77,392
3,3,6002,116000,23,191
3,3,28002,73000,33,275
3,3,17001,113000,37,195
3,3,44001,109000,32,264
3,4,46002,104000,39,207
3,3,24002,131000,36,323
3,3,14001,58000,4,217
3,7,57001,326000,90,587
2,3,49004,78000,55,502
3,3,63001,92000,28,226
3,3,11002,87000,35,142
3,3,6003,152000,56,578
3,9,27001,135000,83,425
3,3,28003,279000,83,717
2,4,49007,226000,100,1184
3,3,10001,66000,29,177
2,3,51002,874000,93,620
3,4,23002,479000,211,980
3,12,2002,898000,303,2400
3,6,22003,182000,70,457
3,3,63002,128000,46,234
3,4,2003,83000,66,265
3,3,20002,296000,48,134
3,4,35001,414000,296,429
3,4,7002,172000,92,307
3,4,11001,385000,148,428
3,6,39002,322000,174,1489
3,3,38003,82000,43,261
3,5,40001,687000,195,1123
2,8,41004,312000,102,1645
3,3,15001,796000,103,191
3,5,33002,159000,56,306
3,3,27002,45000,17,119
3,4,62003,441000,153,690
3,4,9002,389000,132,492
3,3,56003,116000,46,290
3,3,23003,107000,16,75
3,3,60004,122000,53,496
3,5,33003,282000,110,708
3,7,32002,725000,350,2888
3,6,11003,264000,159,501
2,27,51004,4752000,2461,13733
3,4,56004,258000,92,791
3,4,54004,115000,62,182
3,4,4003,145000,91,407
3,4,65001,6150000,1693,1056
1,36,49005,6691000,1998,22602
2,3,5005,124000,19,624
3,3,14003,29000,30,120
3,5,40002,605000,310,2254
3,17,46001,1186000,533,2964
3,4,58002,107000,32,329
3,12,66001,9142000,1479,2089
3,6,33005,167000,67,301
3,5,56005,91000,47,198
3,3,45003,133000,30,117
3,4,13001,489000,279,1408
3,3,11004,1298000,293,831
3,3,13002,68000,26,202
3,3,18004,214000,87,585
3,3,2004,72000,23,125
3,4,36002,192000,60,355
3,4,5006,128000,42,369
3,8,59002,568000,313,1091
3,3,2005,91000,20,189
3,3,40201,-9,-9,52
3,3,11301,-9,-9,286
3,2,32301,-9,-9,253
3,3,34301,-9,-9,568
3,3,35301,-9,-9,421
3,3,42301,-9,-9,340
3,3,54302,-9,-9,426
3,3,65306,-9,-9,1100
3,3,65307,-9,-9,322
3,3,65311,-9,-9,926
3,3,66301,-9,-9,641
3,3,64302,-9,-9,215
3,2,20303,-9,-9,246
3,21,320,4232000,1527,9300
2,3,51,586000,303,1326
2,16,10,5221000,1302,7180
3,13,20,2501000,956,5921
